userName,score,at,content
Arman Mirza,5,2026-08-28 07:05:32,best app 🤌
Ronin кιиg,1,2026-08-28 06:59:07,I ordered a mustache face wash and I received a duplicate product. and I complain about it and call the customer service they told me we can't do anything for you on this order. and it was my fast myntra order. useless customer service.
kaviharsha16,5,2026-08-28 06:56:19,One of the best shopping apps ever.
ANIKET JUNGADE,5,2026-08-28 06:52:13,Crazy shopping app...I really appreciate the app interface and it's coustomer care ... prompt reply and problem solving time ... excellent 👍
Kushi Gowda,5,2026-08-28 06:46:28,some time they made me irritate
Hamza Arif,5,2026-08-28 06:43:03,best app for shopping trust and authentic
sunita kumari,5,2026-08-28 06:41:57,I am very happy yo this app
Aseel Omer,5,2026-08-28 06:38:47,immaculate... I'm really happy with this app. I've never seen more efficient shopping app like this before
Namitha SL,5,2026-08-28 06:38:05,"user friendly app ,unique collections and smart delivery"
Saurabh Chopra,1,2026-08-28 06:37:59,They fraudulently avoid accepting returns. Quality of clothes is also pathetic.
Sabarinath Sukumaran,1,2026-08-28 06:37:41,"On 26 they said my number was not available and cancelled the delivery, I gave an alternative number that same day and then today they cancelled the delivery again, I called them and they didn't pick up... poor delivery team.. worst delivery I ever seen, can't even give 2 marks out of 100... I am abroad but at the same address I purchase from Amazon and Flipkart and the item arrives at home correctly, this is the first time I have had such an experience. With this, I stopped deal with you."
Kumari Saloni,5,2026-08-28 06:36:18,fast growing online fashion platform
Affrin Rafi,5,2026-08-28 06:21:53,Good
rakesh kumar,5,2026-08-28 06:21:50,satisfaction guaranted
Kashish Ramtara,5,2026-08-28 06:21:08,nice app
SAURABH GOSWAMI,5,2026-08-28 06:20:49,fast delivery...nice and genuine products
Harsh,1,2026-08-28 06:14:11,I've faced this issue two times ki maine order Kara or wo bina mere tak aaye order delivered dikha rha hai ek bar order delivery boy ke ghar pe tha... or dundhne pe order mil gya after 7 days or 2nd time mere paise bhi kate or order delivery bhi ni hua and still it's showing delivered...
